congress,chamber,party_code,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean
1,President,5000,Pro-Administration,1,,,,
1,House,4000,Anti-Administration,29,0.018,0.092,-0.024379310344827595,0.14193103448275857
1,House,5000,Pro-Administration,37,0.578,0.057,0.5278378378378378,0.02575675675675677
2,President,5000,Pro-Administration,1,,,,
2,House,4000,Anti-Administration,32,-0.022,-0.079,-0.03909677419354839,-0.12206451612903224
2,House,5000,Pro-Administration,40,0.533,0.0825,0.5304,0.081625
3,President,5000,Pro-Administration,1,,,,
3,House,4000,Anti-Administration,56,-0.072,-0.151,-0.07198181818181817,-0.16261818181818177
3,House,5000,Pro-Administration,54,0.5894999999999999,0.0745,0.5637115384615387,0.05111538461538461
4,President,1,Federalist,1,,,,
4,House,1,Federalist,54,0.6034999999999999,0.1375,0.5615555555555557,0.14103703703703702
4,House,13,Democrat-Republican,61,-0.0975,-0.033,-0.11894999999999997,6.66666666666644e-05
5,President,1,Federalist,1,,,,
5,House,1,Federalist,64,0.622,-0.0165,0.5969218749999999,0.026218750000000006
5,House,13,Democrat-Republican,53,-0.108,-0.042,-0.13815094339622638,-0.07611320754716983
6,President,1,Federalist,1,,,,
6,House,1,Federalist,64,0.624,-0.07050000000000001,0.5918749999999999,-0.04340624999999999
6,House,13,Democrat-Republican,50,-0.068,-0.105,-0.10193877551020407,-0.16224489795918362
7,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
7,House,1,Federalist,40,0.622,-0.17049999999999998,0.6072000000000001,-0.031924999999999995
7,House,13,Democrat-Republican,74,-0.052,0.057,-0.08423287671232879,-0.02539726027397259
8,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
8,House,1,Federalist,40,0.615,-0.248,0.599102564102564,-0.21956410256410258
8,House,13,Democrat-Republican,110,-0.098,0.066,-0.10602752293577981,0.05273394495412846
9,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
9,House,1,Federalist,29,0.6074999999999999,-0.36950000000000005,0.5690357142857143,-0.37835714285714284
9,House,13,Democrat-Republican,120,-0.10350000000000001,0.0685,-0.09022881355932204,0.03726271186440681
10,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
10,House,1,Federalist,27,0.599,-0.429,0.5270370370370372,-0.38851851851851854
10,House,13,Democrat-Republican,122,-0.099,0.066,-0.06680165289256197,0.05728925619834707
11,President,13,Democrat-Republican,1,0.138,0.731,0.138,0.731
11,House,1,Federalist,51,0.586,-0.43,0.5370588235294118,-0.40727450980392166
11,House,13,Democrat-Republican,103,-0.108,0.095,-0.08787378640776701,0.10989320388349509
12,President,13,Democrat-Republican,1,0.138,0.731,0.138,0.731
12,House,1,Federalist,37,0.591,-0.43,0.5015675675675676,-0.42505405405405405
12,House,13,Democrat-Republican,110,-0.10200000000000001,0.107,-0.09451818181818183,0.10936363636363637
13,President,13,Democrat-Republican,1,0.138,0.731,0.138,0.731
13,House,1,Federalist,72,0.58,-0.392,0.5247042253521127,-0.33983098591549293
13,House,13,Democrat-Republican,124,-0.08449999999999999,0.219,-0.08957258064516131,0.22309677419354856
14,President,13,Democrat-Republican,1,0.138,0.731,0.138,0.731
14,House,1,Federalist,66,0.58,-0.415,0.5216000000000002,-0.3680923076923077
14,House,13,Democrat-Republican,133,-0.063,0.18,-0.056218045112781966,0.2003984962406016
15,President,13,Democrat-Republican,1,0.13,0.548,0.13,0.548
15,House,1,Federalist,40,0.472,-0.2845,0.41375,-0.26959999999999995
15,House,13,Democrat-Republican,155,0.020499999999999997,0.155,0.014701298701298725,0.12035714285714295
16,President,13,Democrat-Republican,1,0.13,0.548,0.13,0.548
16,House,1,Federalist,28,0.37,0.156,0.2581785714285715,0.012321428571428554
16,House,13,Democrat-Republican,173,0.08399999999999999,0.262,0.03152325581395346,0.1974244186046512
17,President,13,Democrat-Republican,1,0.13,0.548,0.13,0.548
17,House,1,Federalist,36,0.36,0.147,0.27580000000000005,0.038199999999999984
17,House,13,Democrat-Republican,165,0.106,0.116,0.04647852760736191,0.0798895705521472
18,President,13,Democrat-Republican,1,0.13,0.548,0.13,0.548
18,House,13,Democrat-Republican,4,0.257,0.635,0.34333333333333327,0.6073333333333334
18,House,1346,Jackson Republican,65,0.043,0.4585,-0.00140625000000001,0.416328125
18,House,6000,Crawford Federalist,2,0.202,-0.144,0.202,-0.144
18,House,7000,Jackson Federalist,7,0.153,0.338,0.13185714285714287,0.3691428571428571
18,House,7777,Crawford Republican,56,-0.305,-0.23,-0.19321818181818182,-0.1930727272727273
18,House,8000,Adams-Clay Federalist,15,0.289,0.04,0.24493333333333334,-0.19506666666666664
18,House,8888,Adams-Clay Republican,72,0.281,0.111,0.32314084507042246,0.04330985915492959
19,President,22,Adams,1,0.396,-0.147,0.396,-0.147
19,House,22,Adams,113,0.227,0.069,0.22389285714285725,0.032348214285714307
19,House,555,Jackson,112,-0.189,0.28300000000000003,-0.18252678571428566,0.17816071428571428
20,President,22,Adams,1,0.396,-0.147,0.396,-0.147
20,House,22,Adams,104,0.28200000000000003,0.11549999999999999,0.26475000000000004,0.09511538461538466
20,House,555,Jackson,118,-0.2205,0.242,-0.21379661016949156,0.17086440677966103
21,President,555,Jackson,1,-0.25,-0.098,-0.25,-0.098
21,House,26,Anti Masonic,5,0.267,0.136,0.279,0.14340000000000003
21,House,555,Jackson,142,-0.2625,0.0505,-0.24328873239436627,0.00183098591549298
21,House,1275,Anti-Jackson,74,0.294,0.147,0.29383561643835626,0.18787671232876718
22,President,555,Jackson,1,-0.25,-0.098,-0.25,-0.098
22,House,26,Anti Masonic,17,0.248,-0.033,0.25941176470588234,-0.01047058823529412
22,House,44,Nullifier,4,-0.3125,0.9085,-0.34324999999999994,0.8035
22,House,555,Jackson,130,-0.29,-0.08449999999999999,-0.27954615384615383,-0.05922307692307695
22,House,1275,Anti-Jackson,67,0.294,0.204,0.2892089552238807,0.20776119402985077
23,President,555,Jackson,1,-0.25,-0.098,-0.25,-0.098
23,House,26,Anti Masonic,26,0.315,-0.0195,0.32803846153846156,-0.05811538461538463
23,House,44,Nullifier,10,-0.3765,0.884,-0.4025999999999999,0.7947
23,House,555,Jackson,150,-0.2665,-0.267,-0.2666133333333332,-0.18761333333333344
23,House,1275,Anti-Jackson,72,0.1875,0.2525,0.18865277777777778,0.2738750000000001
24,President,555,Jackson,1,-0.25,-0.098,-0.25,-0.098
24,House,26,Anti Masonic,16,0.356,-0.0805,0.349,-0.144375
24,House,29,Whig,2,0.17049999999999998,0.199,0.17049999999999998,0.199
24,House,44,Nullifier,8,-0.4585,0.86,-0.45099999999999996,0.8098749999999999
24,House,555,Jackson,149,-0.283,-0.36,-0.2967027027027027,-0.3120337837837837
24,House,1275,Anti-Jackson,80,0.0805,0.314,0.0771125,0.3194875000000002
25,President,100,Democrat,1,0.105,-0.969,0.105,-0.969
25,House,26,Anti Masonic,7,0.398,-0.146,0.37014285714285716,-0.13328571428571429
25,House,29,Whig,110,0.1745,0.2525,0.12190909090909095,0.27208181818181826
25,House,44,Nullifier,6,-0.5095000000000001,0.8155,-0.5071666666666667,0.7378333333333332
25,House,100,Democrat,134,-0.283,-0.418,-0.29730827067669185,-0.3626315789473684
25,House,328,Independent,1,-0.065,0.368,-0.065,0.368
26,President,100,Democrat,1,0.105,-0.969,0.105,-0.969
26,House,26,Anti Masonic,6,0.3815,-0.2285,0.36766666666666664,-0.17750000000000002
26,House,29,Whig,121,0.209,0.2325,0.122775,0.2903583333333332
26,House,100,Democrat,128,-0.297,-0.452,-0.3210312500000002,-0.3693671875000001
26,House,112,Conservative,2,-0.35250000000000004,0.2905,-0.35250000000000004,0.2905
27,President,29,Whig,2,0.251,-0.968,0.251,-0.968
27,House,29,Whig,151,0.179,0.176,0.140569536423841,0.26105960264900663
27,House,100,Democrat,106,-0.3475,-0.3345,-0.36377358490566053,-0.26731132075471686
27,House,328,Independent,1,-0.576,0.749,-0.576,0.749
27,House,329,Ind. Democrat,1,-0.109,-0.17,-0.109,-0.17
28,President,29,Whig,1,0.251,-0.968,0.251,-0.968
28,House,29,Whig,80,0.251,0.21250000000000002,0.17136250000000008,0.23803749999999996
28,House,100,Democrat,152,-0.2815,-0.28049999999999997,-0.2981933333333333,-0.2535200000000001
28,House,329,Ind. Democrat,1,0.172,0.042,0.172,0.042
28,House,403,Law and Order,2,0.1765,0.1645,0.1765,0.1645
28,House,603,Ind. Whig,1,-0.092,0.545,-0.092,0.545
29,President,100,Democrat,1,-0.659,-0.504,-0.659,-0.504
29,House,29,Whig,84,0.23199999999999998,0.195,0.17432926829268297,0.25303658536585366
29,House,100,Democrat,150,-0.29,-0.2235,-0.32851999999999987,-0.21964000000000003
29,House,310,American,6,0.14500000000000002,0.037,0.1285,0.06483333333333334
30,President,100,Democrat,1,-0.659,-0.504,-0.659,-0.504
30,House,29,Whig,119,0.242,0.085,0.1973504273504273,0.19474358974358982
30,House,100,Democrat,115,-0.3375,-0.211,-0.34872807017543844,-0.214078947368421
30,House,310,American,1,0.013,0.24,0.013,0.24
30,House,328,Independent,1,0.552,-0.598,0.552,-0.598
30,House,329,Ind. Democrat,2,-0.129,-0.493,-0.129,-0.493
31,President,29,Whig,2,,,,
31,House,29,Whig,113,0.298,0.154,0.2391681415929203,0.18515929203539835
31,House,100,Democrat,120,-0.374,-0.159,-0.38658823529411757,-0.17901680672268905
31,House,300,Free Soil,9,0.425,-0.812,0.3874444444444445,-0.8141111111111111
31,House,310,American,1,0.013,0.24,0.013,0.24
31,House,328,Independent,1,0.013,0.246,0.013,0.246
32,President,29,Whig,1,,,,
32,House,29,Whig,89,0.289,0.149,0.24723595505617962,0.09784269662921355
32,House,46,States Rights,3,-0.421,0.087,-0.4513333333333333,0.06866666666666667
32,House,100,Democrat,129,-0.303,-0.163,-0.3051162790697674,-0.18642635658914727
32,House,300,Free Soil,4,0.47750000000000004,-0.8045,0.4525,-0.792
32,House,329,Ind. Democrat,3,-0.23,0.037,-0.17500000000000002,-0.010666666666666677
32,House,603,Ind. Whig,1,0.022,0.735,0.022,0.735
32,House,4444,Union,10,-0.40700000000000003,0.33699999999999997,-0.40840000000000004,0.308
33,President,100,Democrat,1,0.256,0.132,0.256,0.132
33,House,29,Whig,77,0.2585,-0.069,0.19164473684210528,-0.06607894736842106
33,House,100,Democrat,159,-0.31,-0.099,-0.3002356687898089,-0.10733121019108281
33,House,300,Free Soil,4,0.294,-0.497,0.27599999999999997,-0.47725
33,House,328,Independent,1,0.103,-0.224,0.103,-0.224
33,House,329,Ind. Democrat,1,-0.214,-0.053,-0.214,-0.053
34,President,100,Democrat,1,0.256,0.132,0.256,0.132
34,House,100,Democrat,85,-0.432,-0.076,-0.396564705882353,-0.057294117647058836
34,House,200,Republican,1,0.549,-0.683,0.549,-0.683
34,House,310,American,52,0.0275,0.1605,0.10148076923076922,0.12184615384615384
34,House,3333,Opposition,100,0.313,-0.337,0.29087878787878785,-0.3219090909090908
35,President,100,Democrat,1,-0.721,-0.045,-0.721,-0.045
35,House,100,Democrat,136,-0.341,0.031,-0.3755629629629629,0.0852814814814815
35,House,200,Republican,94,0.3225,-0.367,0.32980851063829786,-0.39952127659574477
35,House,310,American,15,-0.072,0.343,-0.0754,0.36800000000000005
35,House,329,Ind. Democrat,2,-0.0965,0.08700000000000001,-0.0965,0.08700000000000001
36,President,100,Democrat,1,-0.721,-0.045,-0.721,-0.045
36,House,100,Democrat,87,-0.437,-0.006,-0.4258620689655172,0.04245977011494255
36,House,108,Anti-Lecompton Democrat,8,-0.0019999999999999996,-0.09949999999999999,-0.010249999999999992,-0.075625
36,House,200,Republican,119,0.293,-0.2645,0.2945254237288137,-0.30152542372881375
36,House,310,American,5,0.068,0.512,0.0242,0.5722
36,House,329,Ind. Democrat,7,-0.425,0.397,-0.3871428571428571,0.24300000000000002
36,House,3334,Opposition,19,-0.091,0.156,-0.11205263157894735,0.2164736842105263
37,President,200,Republican,1,0.431,0.902,0.431,0.902
37,House,37,Constitutional Unionist,2,0.0335,0.595,0.0335,0.595
37,House,100,Democrat,52,-0.279,0.263,-0.23278431372549013,0.3102549019607843
37,House,200,Republican,114,0.3165,-0.2445,0.30658771929824563,-0.24439473684210528
37,House,206,Unionist,32,-0.001,0.444,0.004935483870967742,0.37877419354838715
37,House,329,Ind. Democrat,1,-0.334,0.942,-0.334,0.942
37,House,4444,Union,2,0.138,0.5740000000000001,0.138,0.5740000000000001
38,President,200,Republican,1,0.431,0.902,0.431,0.902
38,House,100,Democrat,75,-0.306,0.11449999999999999,-0.2877162162162162,0.15677027027027024
38,House,200,Republican,86,0.3465,-0.135,0.3478953488372094,-0.09426744186046512
38,House,203,Unconditional Unionist,18,0.21600000000000003,0.2695,0.1797777777777778,0.13805555555555557
38,House,206,Unionist,9,-0.122,0.56,-0.19144444444444442,0.23166666666666666
38,House,331,Ind. Republican,2,0.09849999999999999,-0.5075,0.09849999999999999,-0.5075
39,President,200,Republican,2,0.431,0.902,0.431,0.902
39,House,100,Democrat,44,-0.33799999999999997,0.2315,-0.3575000000000001,0.16843181818181818
39,House,200,Republican,138,0.314,-0.143,0.30347445255474464,-0.1317299270072993
39,House,203,Unconditional Unionist,14,0.1305,0.1755,0.10778571428571428,0.14114285714285715
39,House,206,Unionist,5,-0.255,-0.115,-0.25020000000000003,-0.06020000000000001
39,House,331,Ind. Republican,1,0.371,-0.596,0.371,-0.596
40,President,200,Republican,1,,,,
40,House,100,Democrat,51,-0.3565,0.069,-0.3676,0.1506
40,House,112,Conservative,2,-0.034,0.3385,-0.034,0.3385
40,House,200,Republican,178,0.3105,-0.1045,0.3098595505617978,-0.12483707865168542
40,House,331,Ind. Republican,2,0.20799999999999996,0.06749999999999999,0.20799999999999996,0.06749999999999999
40,House,1116,Conservative Republican,1,0.068,0.95,0.068,0.95
41,President,200,Republican,1,0.18,0.018,0.18,0.018
41,House,100,Democrat,72,-0.372,-0.025,-0.3678611111111112,0.05637499999999998
41,House,112,Conservative,6,-0.13299999999999998,0.442,-0.20516666666666664,0.3221666666666667
41,House,200,Republican,180,0.3255,-0.092,0.32267222222222247,-0.10814444444444443
42,President,200,Republican,1,0.18,0.018,0.18,0.018
42,House,100,Democrat,106,-0.349,-0.018000000000000002,-0.34472641509433954,0.0011320754716981022
42,House,200,Republican,143,0.3265,-0.08,0.32391549295774674,-0.09351408450704222
42,House,208,Liberal Republican,4,-0.057,0.024500000000000022,-0.156,0.05350000000000002
42,House,331,Ind. Republican,1,0.467,0.639,0.467,0.639
43,President,200,Republican,1,0.18,0.018,0.18,0.018
43,House,100,Democrat,95,-0.3795,-0.0155,-0.37713829787234043,-0.026585106382978726
43,House,200,Republican,206,0.3245,-0.1135,0.3173970588235295,-0.09456372549019616
43,House,208,Liberal Republican,4,-0.267,-0.138,-0.129,-0.0386666666666667
43,House,329,Ind. Democrat,1,-0.556,0.011,-0.556,0.011
43,House,331,Ind. Republican,1,0.223,-0.812,0.223,-0.812
44,President,200,Republican,1,0.18,0.018,0.18,0.018
44,House,100,Democrat,189,-0.363,-0.111,-0.3557326203208554,-0.1333262032085561
44,House,200,Republican,111,0.364,-0.155,0.3621621621621623,-0.1341171171171171
44,House,328,Independent,4,0.019500000000000003,0.506,0.024749999999999994,0.3195
44,House,329,Ind. Democrat,1,-0.256,0.246,-0.256,0.246
44,House,331,Ind. Republican,4,0.3645,-0.56,0.37925,-0.4635
45,President,200,Republican,1,,,,
45,House,100,Democrat,158,-0.3765,-0.084,-0.3734240506329112,-0.15486075949367079
45,House,200,Republican,143,0.379,-0.091,0.3680349650349648,-0.09222377622377619
45,House,329,Ind. Democrat,2,-0.349,0.0595,-0.349,0.0595
46,President,200,Republican,1,,,,
46,House,100,Democrat,146,-0.395,-0.048,-0.3909862068965515,-0.04934482758620689
46,House,200,Republican,135,0.399,-0.129,0.39489629629629636,-0.12807407407407412
46,House,326,National Greenbacker,13,-0.036,0.992,-0.012461538461538465,0.8143076923076923
46,House,329,Ind. Democrat,7,-0.3305,0.16649999999999998,-0.35333333333333333,0.16283333333333336
47,President,200,Republican,2,0.095,-0.995,0.095,-0.995
47,House,100,Democrat,137,-0.396,-0.0835,-0.3949779411764705,-0.06818382352941177
47,House,117,Readjuster Democrat,2,-0.008999999999999994,0.4875,-0.008999999999999994,0.4875
47,House,200,Republican,160,0.391,-0.05,0.3877358490566038,-0.050754716981132056
47,House,326,National Greenbacker,10,0.0315,0.9915,0.013100000000000004,0.8629
47,House,328,Independent,1,0.259,-0.291,0.259,-0.291
47,House,329,Ind. Democrat,1,-0.165,0.087,-0.165,0.087
48,President,200,Republican,1,0.095,-0.995,0.095,-0.995
48,House,100,Democrat,203,-0.337,-0.062,-0.34691625615763555,-0.052842364532019716
48,House,114,Readjuster,6,0.348,-0.296,0.31620000000000004,-0.1822
48,House,200,Republican,126,0.385,-0.005,0.37748800000000005,0.001823999999999984
48,House,326,National Greenbacker,3,-0.218,0.6,-0.06266666666666666,0.556
48,House,328,Independent,2,-0.178,-0.1455,-0.178,-0.1455
48,House,329,Ind. Democrat,3,-0.042,0.112,-0.20833333333333334,0.272
48,House,331,Ind. Republican,1,0.133,-0.991,0.133,-0.991
49,President,100,Democrat,1,-0.362,-0.758,-0.362,-0.758
49,House,100,Democrat,188,-0.357,-0.052,-0.3657058823529411,-0.09301069518716577
49,House,200,Republican,143,0.391,0.022,0.38361538461538464,0.05334265734265736
49,House,326,National Greenbacker,1,-0.078,0.997,-0.078,0.997
49,House,329,Ind. Democrat,1,-0.181,-0.966,-0.181,-0.966
50,President,100,Democrat,1,-0.362,-0.758,-0.362,-0.758
50,House,100,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236
50,House,200,Republican,154,0.398,0.048,0.39464052287581713,0.046895424836601335
50,House,326,National Greenbacker,1,-0.078,0.997,-0.078,0.997
50,House,328,Independent,1,0.337,0.016,0.337,0.016
50,House,331,Ind. Republican,2,0.177,0.9764999999999999,0.177,0.9764999999999999
50,House,355,Union,2,-0.156,0.7065,-0.156,0.7065
51,President,200,Republican,1,0.268,-0.182,0.268,-0.182
51,House,100,Democrat,170,-0.381,-0.206,-0.38360946745562147,-0.22989349112426039
